Lloji I produktit,Emri,Çmimi,Në Ofertë,Imazhi
Kujdesi për shtëpinë,Detergjent bio për dysheme,500,jo,C:\xampp\htdocs\bio-ju\wp-content\themes\bio-ju\images\produkte\detergjent.png
Produkte Mishi,Legume të ziera dhe mish pa gluten pa yndyrë bebat 12 muajsh,130,,C:\xampp\htdocs\bio-ju\wp-content\themes\bio-ju\images\produkte\legume.png
